split,sample_id,source_group,noise_index,timestep_index,noise_seed,t,winner_full_residual,winner_mask_residual,winner_boundary_residual,winner_outside_residual,winner_pred_norm,winner_target_norm,winner_noise_norm,winner_z0_norm,loser_full_residual,loser_mask_residual,loser_boundary_residual,loser_outside_residual,loser_pred_norm,loser_target_norm,loser_noise_norm,loser_z0_norm
train32,BLENDER_MOUNTAIN009_00001,BLENDER_MOUNTAIN009,1,3,20279890,0.75,0.011742718517780304,0.21736061573028564,0.15096138417720795,0.010182325728237629,762.5330200195312,764.5498046875,571.67724609375,505.0505065917969,0.003748286282643676,0.2864689528942108,0.2141869068145752,0.0013896443415433168,762.173583984375,764.9838256835938,571.67724609375,505.586669921875
train32,BLENDER_MOUNTAIN009_00001,BLENDER_MOUNTAIN009,2,0,20289063,0.15,0.22879114747047424,0.30348849296569824,0.3066038489341736,0.22791899740695953,795.26513671875,763.951171875,572.8547973632812,505.0505065917969,0.011556453071534634,0.28995874524116516,0.2636241018772125,0.00873122364282608,761.51220703125,764.3174438476562,572.8547973632812,505.586669921875
train32,BLENDER_MOUNTAIN009_00001,BLENDER_MOUNTAIN009,2,1,20289063,0.35,0.046532511711120605,0.16345231235027313,0.2221747189760208,0.04456387460231781,769.531005859375,763.951171875,572.8547973632812,505.0505065917969,0.005414673127233982,0.18986746668815613,0.17428375780582428,0.0035219520796090364,765.2073364257812,764.3174438476562,572.8547973632812,505.586669921875
train32,BLENDER_MOUNTAIN009_00001,BLENDER_MOUNTAIN009,2,2,20289063,0.55,0.020203102380037308,0.15343153476715088,0.17198660969734192,0.018501879647374153,764.9782104492188,763.951171875,572.8547973632812,505.0505065917969,0.003866910934448242,0.18915030360221863,0.1710643321275711,0.001992926001548767,763.9281005859375,764.3174438476562,572.8547973632812,505.586669921875
train32,BLENDER_MOUNTAIN009_00001,BLENDER_MOUNTAIN009,2,3,20289063,0.75,0.011557451449334621,0.15244509279727936,0.13374198973178864,0.01018797978758812,762.6885986328125,763.951171875,572.8547973632812,505.0505065917969,0.003677569329738617,0.27161645889282227,0.20678091049194336,0.001401142799295485,762.3656616210938,764.3174438476562,572.8547973632812,505.586669921875
train32,BLENDER_MOUNTAIN009_00001,BLENDER_MOUNTAIN009,3,0,20298236,0.15,0.22831349074840546,0.312742680311203,0.31451258063316345,0.22734734416007996,795.56103515625,764.3125610351562,573.413330078125,505.0505065917969,0.011476662941277027,0.2646653950214386,0.27988874912261963,0.008468241430819035,761.5595703125,764.7406616210938,573.413330078125,505.586669921875
train32,BLENDER_MOUNTAIN009_00001,BLENDER_MOUNTAIN009,3,1,20298236,0.35,0.046380866318941116,0.1875152885913849,0.21858248114585876,0.044450793415308,769.5252075195312,764.3125610351562,573.413330078125,505.0505065917969,0.005141898989677429,0.1722804605960846,0.17414747178554535,0.0032476477790623903,765.0219116210938,764.7406616210938,573.413330078125,505.586669921875
train32,BLENDER_MOUNTAIN009_00001,BLENDER_MOUNTAIN009,3,2,20298236,0.55,0.02024780958890915,0.20092755556106567,0.1830010861158371,0.018423637375235558,764.959228515625,764.3125610351562,573.413330078125,505.0505065917969,0.003816270036622882,0.1804025024175644,0.1781069040298462,0.0018627828685566783,763.8858032226562,764.7406616210938,573.413330078125,505.586669921875
train32,BLENDER_MOUNTAIN009_00001,BLENDER_MOUNTAIN009,3,3,20298236,0.75,0.011675377376377583,0.19690440595149994,0.14649230241775513,0.010164320468902588,762.6799926757812,764.3125610351562,573.413330078125,505.0505065917969,0.0038251846563071012,0.29961225390434265,0.2247423231601715,0.0013490976998582482,762.2861328125,764.7406616210938,573.413330078125,505.586669921875
train32,BLENDER_OFFICE003_00001,BLENDER_OFFICE003,0,0,20271726,0.15,0.27111244201660156,0.3297630846500397,1.1758791208267212,0.2478238046169281,752.9696044921875,726.0155029296875,573.6412963867188,445.629150390625,0.27387937903404236,0.3515456020832062,1.1837435960769653,0.24898576736450195,751.9288330078125,723.9110717773438,573.6412963867188,442.21759033203125
train32,BLENDER_OFFICE003_00001,BLENDER_OFFICE003,0,1,20271726,0.35,0.07952987402677536,0.20757350325584412,0.7456326484680176,0.05972779169678688,729.0738525390625,726.0155029296875,573.6412963867188,445.629150390625,0.08472573757171631,0.30035537481307983,0.7623360753059387,0.059923604130744934,727.6790161132812,723.9110717773438,573.6412963867188,442.21759033203125
train32,BLENDER_OFFICE003_00001,BLENDER_OFFICE003,0,2,20271726,0.55,0.04213385656476021,0.19299012422561646,0.5122897624969482,0.026068734005093575,725.1266479492188,726.0155029296875,573.6412963867188,445.629150390625,0.04506788030266762,0.2658599317073822,0.4617186486721039,0.025943873450160027,723.3882446289062,723.9110717773438,573.6412963867188,442.21759033203125
train32,BLENDER_OFFICE003_00001,BLENDER_OFFICE003,0,3,20271726,0.75,0.029768800362944603,0.20725788176059723,0.3685277998447418,0.014735635370016098,723.6419677734375,726.0155029296875,573.6412963867188,445.629150390625,0.02959420159459114,0.22468097507953644,0.30376267433166504,0.014601955190300941,722.4027099609375,723.9110717773438,573.6412963867188,442.21759033203125
train32,BLENDER_OFFICE003_00001,BLENDER_OFFICE003,1,0,20280899,0.15,0.2673148810863495,0.3252863585948944,1.1245167255401611,0.24507220089435577,752.6214599609375,725.683837890625,573.487060546875,445.629150390625,0.270050972700119,0.35271209478378296,1.1253986358642578,0.24601972103118896,751.28466796875,723.6681518554688,573.487060546875,442.21759033203125
train32,BLENDER_OFFICE003_00001,BLENDER_OFFICE003,1,1,20280899,0.35,0.0778893455862999,0.19554658234119415,0.7120949029922485,0.05921044573187828,729.5475463867188,725.683837890625,573.487060546875,445.629150390625,0.08459457010030746,0.3124023973941803,0.7456927299499512,0.059499457478523254,728.1546020507812,723.6681518554688,573.487060546875,442.21759033203125
