sample_id,status,num_frames,propagation_coverage,average_confidence,avg_num_sources_used,propagated_region_psnr,full_mask_prop_psnr,failure_reason
youtubevos_000068_0630391881,ok,16,0.013558261473253435,0.01257527805864811,0.04506175220012665,32.93147842277619,50.051532556434914,
youtubevos_000069_06840b2bbe,ok,16,0.03111684826801106,0.034406211227178574,0.2730870842933655,19.232133791858324,25.700979430632835,
youtubevos_000070_068f7dce6f,ok,16,0.0677754106578237,0.06329777091741562,0.23522692918777466,31.59135576648702,40.500879912683494,
youtubevos_000071_0693719753,ok,16,0.03502066511040527,0.03104948252439499,0.13678915798664093,25.98749504324899,36.491827295450115,
youtubevos_000072_06ce2b51fb,ok,16,0.07635649087221096,0.06208081170916557,0.32331642508506775,25.27797825102205,30.327174217608444,
youtubevos_000073_06e224798e,ok,16,0.03191172777101225,0.029288679361343384,0.12141019105911255,27.345175876615535,38.79915461730914,
youtubevos_000074_06ee361788,ok,16,0.03578551957981517,0.03425884619355202,0.2564033269882202,18.80093569445842,24.846169815021902,
youtubevos_000075_06fbb3fa2c,ok,16,0.01182634481842044,0.010630807839334011,0.06050436943769455,20.17641563085529,34.56840958401638,
youtubevos_000076_0700264286,ok,16,0.06270147079554532,0.05857837572693825,0.2940533757209778,25.412305329149486,30.401914587425974,
youtubevos_000077_070c918ca7,ok,16,0.041601529931632485,0.037640176713466644,0.169040247797966,28.971771880991675,38.01676648656775,
youtubevos_000078_07129e14a4,ok,16,0.051296332807570975,0.05059322342276573,0.2830219864845276,25.039426429557366,30.2723310126712,
youtubevos_000079_07177017e9,ok,16,0.01827978409554436,0.021185722202062607,0.2302522361278534,18.677155329858266,23.56695791608876,
youtubevos_000080_07238ffc58,ok,16,0.050593026597521226,0.04744448512792587,0.31807249784469604,22.193164123899493,26.218507825787086,
youtubevos_000081_07353b2a89,ok,16,0.027089425561052906,0.031490374356508255,0.2904887795448303,16.919184075460265,22.195703587224326,
youtubevos_000082_0738493cbf,ok,16,0.05024811481391389,0.04348757863044739,0.1830844134092331,28.64227084897096,37.87348596068723,
youtubevos_000083_075926c651,ok,16,0.04509767125200754,0.04267232492566109,0.22746098041534424,24.235093915201873,29.455823206327935,
youtubevos_000084_075c701292,ok,16,0.0407757618533588,0.03596536070108414,0.17218248546123505,25.05720667259894,33.36288058427568,
youtubevos_000085_0762ea9a30,ok,16,0.013589046099427122,0.011855145916342735,0.05054500326514244,22.62807955774897,37.80155275071853,
youtubevos_000086_07652ee4af,ok,16,0.01885142143849224,0.022451210767030716,0.243604838848114,12.163301810868308,19.82334204356162,
youtubevos_000087_076f206928,ok,16,0.008918716844091573,0.018363289535045624,0.26223430037498474,13.906456250307697,21.236367098115906,
youtubevos_000088_077d32af19,ok,16,0.03926066487317448,0.033473409712314606,0.13444946706295013,26.203456872640384,36.4128252986455,
youtubevos_000089_079049275c,ok,16,0.057378246447284106,0.05325436592102051,0.22445248067378998,33.677609840070446,41.73209728480874,
youtubevos_000090_07913cdda7,ok,16,0.08046571994182289,0.07969092577695847,0.511478841304779,27.43174147997122,25.847319074285792,
youtubevos_000091_07a11a35e8,ok,16,0.07542249250806317,0.06876186281442642,0.2923261523246765,31.472103912000108,37.35647966835779,
youtubevos_000092_07ac33b6df,ok,16,0.02520724970427316,0.023019300773739815,0.12525808811187744,25.19738412139558,35.60206330078553,
youtubevos_000093_07c62c3d11,ok,16,0.028791823770270415,0.0320979468524456,0.24230237305164337,19.993121518951234,26.195196317623054,
youtubevos_000094_07cc1c7d74,ok,16,0.06315744664749508,0.06134208291769028,0.3276614844799042,25.87151599067081,25.69995283325752,
youtubevos_000095_080196ef01,ok,16,0.010543691323635614,0.009884769096970558,0.036622077226638794,37.78337154166275,53.90487571787004,
youtubevos_000096_081207976e,ok,16,0.038537249206157635,0.03872055187821388,0.2854960858821869,22.042712622602867,24.99356798708721,
youtubevos_000097_081ae4fa44,ok,16,0.04606227608284726,0.03962276875972748,0.19856788218021393,28.66127880127964,36.960948644412696,
youtubevos_000098_081d8250cb,ok,16,0.05017526602181262,0.04613436013460159,0.22635729610919952,27.861685919400298,32.79804235091202,
youtubevos_000099_082900c5d4,ok,16,0.040820835324280304,0.03947046026587486,0.31170523166656494,20.557212213274198,24.731595646104516,
