video,label,psnr,ssim,mask_bbox_psnr,strict_mask_psnr,boundary_psnr,lpips,ewarp,residual_scale,confidence_exponent,psnr_delta_vs_exp11,ewarp_delta_vs_exp11,lpips_delta_vs_exp11,strict_mask_psnr_delta_vs_exp11,boundary_psnr_delta_vs_exp11,flow_flow_conf_mean,flow_valid_flow_ratio,flow_mean_flow_magnitude,flow_gate_mean,flow_gate_p10,flow_gate_p50,flow_gate_p90,flow_nonzero_gate_ratio
dance-jump,Exp19R0,34.43654280961736,0.9820312049470189,26.339211154948515,22.70942762557435,26.723503482941613,0.011161129456013441,4.111840612376514,1.0,1.0,-0.00023465635712227595,1.6095683630368285e-06,6.106371680889705e-07,-0.00023465635711872324,-0.0006246271174319418,0.7492751479148865,0.8581621050834656,4.219822883605957,0.003665183437988162,0.0,0.0,0.0,0.007458446081727743
dog-agility,Exp19R0,27.03594929853233,0.957445076641191,20.365941315922562,17.33496713194294,26.655770595424062,0.02393257579145332,23.184404303522214,1.0,1.0,-0.0006647297919109008,0.0007390652013867793,-6.267374070983295e-06,-0.0006647297919109008,-0.0004319492394948554,0.5918501019477844,0.7605476975440979,2.843116044998169,0.0028264434076845646,0.0,0.0,0.0,0.00773654505610466
flamingo,Exp19R0,33.96487242530767,0.9882895273461898,22.650777163439233,20.114234980247485,23.973374225556352,0.00809163316929092,3.6242965345635363,1.0,1.0,0.0006419372675026125,-6.250996628498484e-05,-1.238096350181933e-06,0.0006419372674990598,0.0007379044881297148,0.788724422454834,0.8999325037002563,3.4179558753967285,0.0029070661403238773,0.0,0.0,0.0,0.005339345429092646
blackswan,Exp19R0,32.894499019840936,0.9673453995964804,24.4903473189996,21.85551503894828,27.192778103886468,0.0172978638826559,4.843431302224812,1.0,1.0,-0.0005390718790891924,4.390376093521553e-05,-1.7151469364762306e-06,-0.0005390718790891924,-0.00038070106314691543,0.7039629817008972,0.8533058166503906,3.538808584213257,0.0027010818012058735,0.0,0.0,0.0,0.005381542723625898
car-roundabout,Exp19R0,33.872917285620964,0.9950879085624091,21.53208522528728,19.582965416596274,23.166440440296043,0.005253263409637536,15.080864743694015,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.719431459903717,0.885685920715332,6.967656135559082,0.003398679895326495,0.0,0.0,0.0,0.007024016231298447
dance-jump,Exp19R0,34.437294827663315,0.9820342667118092,26.339963172994473,22.71017964362031,26.72427786226829,0.011161842577469846,4.111973032274324,1.0,2.0,0.0005173616888356491,0.0001340294661735797,1.3237586244940758e-06,0.0005173616888427546,0.00014975220924640098,0.7492751479148865,0.8581621050834656,4.219822883605957,0.003665183437988162,0.0,0.0,0.0,0.007458446081727743
dog-agility,Exp19R0,27.035837785059044,0.957443731884304,20.365829802449273,17.33485561846965,26.65622385019776,0.023940265527926385,23.18468232355688,1.0,2.0,-0.0007762432651965412,0.0010170852360538163,1.4223624020814896e-06,-0.0007762432652000939,2.1305534204429932e-05,0.5918501019477844,0.7605476975440979,2.843116044998169,0.0028264434076845646,0.0,0.0,0.0,0.00773654505610466
flamingo,Exp19R0,33.964504672445024,0.9882885701324818,22.65040941057659,20.11386722738484,23.973245532968857,0.008089097449555993,3.6243081963418615,1.0,2.0,0.00027418440485860174,-5.08481879597511e-05,-3.77381608510953e-06,0.000274184404855049,0.0006092119006346763,0.788724422454834,0.8999325037002563,3.4179558753967285,0.0029070661403238773,0.0,0.0,0.0,0.005339345429092646
blackswan,Exp19R0,32.89433318812284,0.967343804671598,24.490181487281504,21.855349207230187,27.192656254501703,0.017298714257776737,4.843402400855784,1.0,2.0,-0.000704903597181783,1.500239190743713e-05,-8.647718156389039e-07,-0.000704903597181783,-0.0005025504479121423,0.7039629817008972,0.8533058166503906,3.538808584213257,0.0027010818012058735,0.0,0.0,0.0,0.005381542723625898
car-roundabout,Exp19R0,33.872917285620964,0.9950879085624091,21.53208522528728,19.582965416596274,23.166440440296043,0.005253263409637536,15.080864743694015,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.719431459903717,0.885685920715332,6.967656135559082,0.003398679895326495,0.0,0.0,0.0,0.007024016231298447
dance-jump,Exp19R0,34.43735564955603,0.982034848451785,26.34002399488719,22.710240465513028,26.723626959966584,0.011158195440657437,4.111857153475285,2.0,0.5,0.0005781835815525938,1.81506671337317e-05,-2.3233781879152676e-06,0.0005781835815596992,-0.0005011500924609891,0.7492751479148865,0.8581621050834656,4.219822883605957,0.003665183437988162,0.0,0.0,0.0,0.007458446081727743
dog-agility,Exp19R0,27.03622964843902,0.9574438571304785,20.366221665829254,17.335247481849624,26.65631744252681,0.023935643878454965,23.183840488934,2.0,0.5,-0.00038437988522233013,0.00017525061317158475,-3.1992870693393904e-06,-0.00038437988522588284,0.00011489786325213913,0.5918501019477844,0.7605476975440979,2.843116044998169,0.0028264434076845646,0.0,0.0,0.0,0.00773654505610466
flamingo,Exp19R0,33.96484528924713,0.9882892797340769,22.650750027378702,20.11420784418695,23.97402657071441,0.008089745145601531,3.6243388793714666,2.0,0.5,0.0006148012069644437,-2.0165158354679136e-05,-3.126120039571162e-06,0.0006148012069644437,0.0013902496461888347,0.788724422454834,0.8999325037002563,3.4179558753967285,0.0029070661403238773,0.0,0.0,0.0,0.005339345429092646
