trial_id,family,radius_mode,radius_value,adaptive_k,boundary_contribution,aggregation,seed,train_steps,psnr,ssim,lpips,vfid_or_fvd,tc,ewarp,mask_psnr,boundary_psnr,delta_vs_sft,delta_vs_exp11_s1,delta_vs_exp11_s2,loser_degrade_ratio,max_grad_norm,target_reached,status,checkpoint_path
F12,second_fixed_roots,,,,,,,,29.348163769985135,0.9688141401340765,0.018076215872497414,0.22779065554626365,0.9761174287161102,12.005444907829414,17.042852477472703,22.903992939945972,0.17482776998513572,0.014622769985134454,-0.00720823001486437,,,False,,
F11,second_fixed_roots,,,,,,,,29.347309186442736,0.9688077714222711,0.018066760398141923,0.22762725128332129,0.9761004896591539,12.006892779462088,17.04199789393031,22.903439076687427,0.17397318644273696,0.013768186442735697,-0.008062813557263127,,,False,,
F14,second_fixed_roots,,,,,,,,29.346736022955312,0.9687761701909112,0.01816675890161908,0.2284043065077901,0.9760006677521311,11.99651135108149,17.041424730442884,22.898583022064955,0.1734000229553132,0.013195022955311941,-0.008635977044686882,,,False,,
F13,second_fixed_roots,,,,,,,,29.346528223169372,0.9687803282865898,0.018144283910563292,0.22848416919290537,0.9759907584799372,11.998328104512083,17.041216930656944,22.900540980153398,0.173192223169373,0.012987223169371731,-0.008843776830627093,,,False,,
BF01,second_fixed_bestfirst,fixed_image_px,14.0,0.0,2.0,legacy_global_weighted_mean,20260619,,29.34425952937942,0.9688087774766184,0.0179757415765683,0.22743321887326617,0.9762025802679685,12.01580405386662,17.038948236866993,22.90444518028223,0.17092352937942223,0.010718529379420971,-0.011112470620577852,1.0,10.217179251592487,False,evaluating_complete,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/BF01_65c65f38c47585f5/last_weights
F09,second_fixed_roots,,,,,,,,29.34233374783954,0.9687905419156989,0.018013712423756566,0.22760594288421254,0.9761471753211125,12.01311181340197,17.03702245532711,22.897969807279928,0.16899774783954058,0.008792747839539317,-0.013038252160459507,,,False,,
RB05,region_balanced,fixed_image_px,16.0,0.0,2.5,region_balanced,20260619,,29.341866950432546,0.9687482730264751,0.018063396304569324,0.2252251031194774,0.9761041022189285,11.992293610487451,17.03655565792012,22.911410356612077,0.1685309504325474,0.008325950432546136,-0.013505049567452687,0.0,8.556154281539907,False,evaluating_complete,/mnt/nas/hj/H20_Video_inpainting_DPO/experiments/dpo/exp20_autoresearch_scale_adaptive_region_dpo/trials/RB05_4d69e6bd0e01c259/last_weights
F07,second_fixed_roots,,,,,,,,29.341753896293113,0.9687623132096022,0.018062867827514612,0.22827752789145972,0.9760698248510776,12.004583488503513,17.03644260378068,22.902082994969195,0.1684178962931142,0.008212896293112948,-0.013618103706885876,,,False,,
F04,second_fixed_roots,,,,,,,,29.340767474046537,0.9687860819242803,0.01795201031078856,0.22720018538926823,0.9761702829728955,12.01733929693823,17.03545618153411,22.900142689984968,0.1674314740465377,0.007226474046536424,-0.0146045259534624,,,False,,
F10,second_fixed_roots,,,,,,,,29.340101663273522,0.9687183715918694,0.018149861485047342,0.22881143285341032,0.9760953132872996,11.990853866455321,17.034790370761094,22.90314173591435,0.16676566327352305,0.006560663273521783,-0.01527033672647704,,,False,,
