model_label,video,frames,whole_video_psnr,whole_video_ssim,mask_region_psnr,mask_region_ssim,mask_bbox_psnr,mask_bbox_ssim,strict_mask_pixel_psnr,boundary_pixel_psnr,outside_diff_mean,outside_diff_max,outside_region_diff_mean,whole_video_lpips,ewarp
fresh_s2_1000,paragliding,24,37.37266158778412,0.9781068179794733,28.519049387469,0.7985164893485498,28.519049387469,0.7985164893485498,25.411809030034792,29.906581602145106,0.0,0.0,0.0,0.013428531431903442,1.5471760821326273
fresh_s2_1000,paragliding-launch,24,38.763181271024884,0.9894770522149305,29.09064942126375,0.9237329004585595,29.09064942126375,0.9237329004585595,27.358001983906746,30.7700371919187,0.0,0.0,0.0,0.006378171558026224,3.3167849962964007
fresh_s2_1000,parkour,24,28.258601346448074,0.949003759602784,20.972947668374005,0.7041466189171192,20.972947668374005,0.7041466189171192,18.570503369559997,26.239881191716524,0.0,0.0,0.0,0.026986627218623955,7.307538661457922
fresh_s2_1000,rhino,24,26.528846891345818,0.9436249384949265,18.570360866324247,0.6268156566457171,18.570360866324247,0.6268156566457171,15.6910501768931,24.228309132689443,0.0,0.0,0.0,0.026715673428649705,3.0496418678566166
fresh_s2_1000,rollerblade,24,27.639249757740945,0.9488192988092573,18.498396044806878,0.5419457771469794,18.498396044806878,0.5419457771469794,16.120879491315495,24.285548077143943,0.0,0.0,0.0,0.022690085616583627,5.073534790426493
fresh_s2_1000,scooter-black,24,31.074242196087624,0.990190242594904,21.174855456166583,0.9231942156564351,21.174855456166583,0.9231942156564351,17.61510846290781,21.274566869368343,0.0,0.0,0.0,0.006014088944842418,42.43147000670433
fresh_s2_1000,scooter-gray,24,29.365871118985876,0.9750057612196734,23.96200037328263,0.9113424452376998,23.96200037328263,0.9113424452376998,21.341973295348623,25.78952056930443,0.0,0.0,0.0,0.02506653972280522,9.70293966162464
fresh_s2_1000,soapbox,24,35.88772985059788,0.9914912361358094,23.772174288686205,0.90804642384303,23.772174288686205,0.90804642384303,21.314265052948894,25.591714716782008,0.0,0.0,0.0,0.007365988101810217,2.5095786119851726
fresh_s2_1000,soccerball,24,23.948582868375485,0.9448022323131017,16.005775361533694,0.6281291738579778,16.005775361533694,0.6281291738579778,12.759649959759523,20.288919857300886,0.0,0.0,0.0,0.025727060856297612,7.521600422003995
fresh_s2_1000,stroller,24,32.680792953372716,0.9813844126643237,24.137223566692967,0.8731617295291572,24.137223566692967,0.8731617295291572,21.85010250832536,25.797526059707938,0.0,0.0,0.0,0.013444331008940935,3.7283532463176092
fresh_s2_1000,surf,24,35.91000773640159,0.9839854273864641,28.798824738797535,0.9356166795360258,28.798824738797535,0.9356166795360258,25.338696683356087,29.622447520595273,0.0,0.0,0.0,0.006873790679189066,12.277343512877174
fresh_s2_1000,swing,24,34.38794338865297,0.9830666050043231,23.985311588480418,0.8589942926254687,23.985311588480418,0.8589942926254687,21.749171380756582,26.08101983661572,0.0,0.0,0.0,0.009374147339258343,4.295481571360775
fresh_s2_1000,tennis,24,35.377856495283375,0.9869204189919554,24.54005978083066,0.8541160716292108,24.54005978083066,0.8541160716292108,22.353291225474816,26.200938241653745,0.0,0.0,0.0,0.008110346156172454,4.776494061250402
fresh_s2_1000,train,24,29.154475157815977,0.9486712716960205,23.036276871644787,0.7593992648617119,23.036276871644787,0.7593992648617119,20.255264771059647,26.401526019207292,0.0,0.0,0.0,0.018805136089213192,7.781652713437443
